[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings message="load previous mappings"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings elapsed_ms=0 message="previous mappings loaded"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants message="fetch Shopify DOBA variants"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants step=2/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="shopify variants fetched"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants elapsed_ms=107076 message="shopify variants fetched"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates message="fetch Doba by Shopify candidate SKUs"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates step=3/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="doba candidate lookup finished"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates elapsed_ms=1313741 message="doba candidate lookup finished"
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=21/13048 doba_sku=D0102HHHWQX shopify_variant_id=gid://shopify/ProductVariant/51357646061874 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=22/13048 doba_sku=D0102HHHWJ8 shopify_variant_id=gid://shopify/ProductVariant/51357647831346 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=23/13048 doba_sku=D0102HHHW6X shopify_variant_id=gid://shopify/ProductVariant/51357649404210 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=24/13048 doba_sku=D0102HHHWNX shopify_variant_id=gid://shopify/ProductVariant/51357651501362 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=25/13048 doba_sku=D0102HHHWTT shopify_variant_id=gid://shopify/ProductVariant/51357654188338 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=26/13048 doba_sku=D0102HHHWF6 shopify_variant_id=gid://shopify/ProductVariant/51357655466290 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=27/13048 doba_sku=D0102HHHW3J shopify_variant_id=gid://shopify/ProductVariant/51357655597362 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=28/13048 doba_sku=D0102HHHKH6 shopify_variant_id=gid://shopify/ProductVariant/51357655793970 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=29/13048 doba_sku=D0102HHHKXP shopify_variant_id=gid://shopify/ProductVariant/51357655925042 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=30/13048 doba_sku=D0102HHHKR6 shopify_variant_id=gid://shopify/ProductVariant/51357656580402 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=31/13048 doba_sku=D0102HHHKP2 shopify_variant_id=gid://shopify/ProductVariant/51357656777010 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=32/13048 doba_sku=D0102HHHKG2 shopify_variant_id=gid://shopify/ProductVariant/51357656973618 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=33/13048 doba_sku=D0102HHHK16 shopify_variant_id=gid://shopify/ProductVariant/51357657432370 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=34/13048 doba_sku=D0102HHHKZ8 shopify_variant_id=gid://shopify/ProductVariant/51357657628978 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=35/13048 doba_sku=D0102HHHKUX shopify_variant_id=gid://shopify/ProductVariant/51357658579250 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=36/13048 doba_sku=D0102HHHN5X shopify_variant_id=gid://shopify/ProductVariant/51357658874162 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=37/13048 doba_sku=D0102HHHNE6 shopify_variant_id=gid://shopify/ProductVariant/51357659201842 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=38/13048 doba_sku=D0102HHHNA6 shopify_variant_id=gid://shopify/ProductVariant/51357721788722 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=39/13048 doba_sku=D0102HHH4TJ shopify_variant_id=gid://shopify/ProductVariant/51357836247346 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=40/13048 doba_sku=D0102HHH4FJ shopify_variant_id=gid://shopify/ProductVariant/51357836542258 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=41/13048 doba_sku=D0102HHH4F8 shopify_variant_id=gid://shopify/ProductVariant/51357837033778 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=42/13048 doba_sku=D0102HHHT56 shopify_variant_id=gid://shopify/ProductVariant/51357837328690 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=43/13048 doba_sku=D0102HHHTP8 shopify_variant_id=gid://shopify/ProductVariant/51357837558066 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=44/13048 doba_sku=D0102HHHTJP shopify_variant_id=gid://shopify/ProductVariant/51357839950130 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=45/13048 doba_sku=D0102HHHTB6 shopify_variant_id=gid://shopify/ProductVariant/51357841457458 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=46/13048 doba_sku=D0102HHHT1J shopify_variant_id=gid://shopify/ProductVariant/51357842997554 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=47/13048 doba_sku=D0102HHHTZ2 shopify_variant_id=gid://shopify/ProductVariant/51357844242738 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=48/13048 doba_sku=D0102HHHTZ6 shopify_variant_id=gid://shopify/ProductVariant/51357844799794 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=49/13048 doba_sku=D0102HHHT8P shopify_variant_id=gid://shopify/ProductVariant/51357845160242 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=50/13048 doba_sku=D0102HHHU5P shopify_variant_id=gid://shopify/ProductVariant/51357845422386 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=51/13048 doba_sku=D0102HHHULX shopify_variant_id=gid://shopify/ProductVariant/51357846274354 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=52/13048 doba_sku=D0102HH79T2 shopify_variant_id=gid://shopify/ProductVariant/51357846962482 status=active reason_code=matched_by_exact_sku
